Pattern,Detected Text,Start Index
Liebe (?! und),"Liebe und die Menschenrechte,« sagte der Chevalier. »mehrere unserer Bekannten, unter andern der junge Laf",1254216
Liebe (?! und),"Liebe zu ihm in sich bergend, edel und einsam verkümmert. Vielleicht staunt Lauzun nur spöttelnd darüber, ",1265198
Liebe (?! und),"Liebe die Religion. Vor einundzwanzig Jahren hat der Pfarrer Perce-neige getauft, Er hat ihr die erste Com",1266533
Liebe (?! und),"Liebe ihre letzten Augenblicke verschwelgt, anstatt der Hostie hat sie einen Kuß genossen, sie ist verdamm",1271156
Liebe (?! und),"Liebe und Glauben, durch schale Menschensatzungen bitter verfeindet, hatten sich dessen erinnert, daß sie ",1272012
Liebe (?! und),Liebe … Was hatte sich daran geändert? War nicht noch alles ebenso wie damals? Er hob den Kopf. Er sah mit,1315300
Liebe (?! und),Liebe machen ja ohnehin jede Glücksstunde fast zu einem Geschenk und Wunder! Wenn du nun noch eine solche ,1319360
Liebe (?! und),"Liebe für Dich ist. Ich trage seit sechs Jahren die Gefahr und die Aufregung einer solchen Leidenschaft, w",1319623
Liebe (?! und),"Liebe sein. Weil ich lieber sterben und untergehen mag, als von Dir lassen. »Treue adelt! Und unsere Treue",1319799
Liebe (?! und),"Liebe klar angesehen. Nicht in Ekstasen schwächlicher Moral, die bereut, sich schämt, um willenlos der Ver",1362038
Liebe (?! und),"Liebe auf den Punkt gekommen ist, wo sie die Geliebte zwiefach empfindet – anders in ihrer Gegenwart als i",1362408
Liebe (?! und),"Liebe krank. Der Augenblick ist gekommen, wo ihre Bestimmung zu sinken – diese furchtbare Bestimmung aller",1362632
Liebe (?! und),"Liebe – sich erfüllt. Damals schon begann in ihm der Kampf, von ihr ungeahnt – vielleicht ungeahnt. Zuweil",1362739
Liebe (?! und),Liebe willen für ihn gewagt. Tiefe Erschütterung ging durch sein Gemüt … Ihr grandioser Mut ließ ihn erbeb,1364711
Liebe (?! und),"Liebe ein Opfer. Ich gesteh' dir: mir selbst würde es auch Spaß machen, Senatorsfrau zu werden. Allein sch",1370256
Liebe (?! und),"Liebe und die letzten Jahre haben es dir bewiesen: ich glaube, kein kleinlicher Mensch zu sein! Aber du we",1370632
Liebe (?! und),"Liebe bedeutet es mehr Freiheit – wenn Meno – – wenn aber du nun noch Senator wirst, bleibt ja keine, gar ",1375872
Liebe (?! und),Liebe …« Halblaut sprach sie das alles. Flehend und zugleich mit ihren zarten schmalen Händen seine Rechte,1376005
Liebe (?! und),Liebe war mit Seelenqualen ohne Ende bezahlt worden. Und nun war es genug. – Der Deckel der Teemaschine kl,1380235
Liebe (?! und),"Liebe der Tochter empfand. Sie saß in dieser Morgenstunde ein wenig grollend, in angeborener Wuchtigkeit a",1412712
Liebe (?! und),"Liebe so stolz gewesen, so groß – begierig fast nach Leiden, um darin die überragende Macht dieses Gefühls",1461184
Liebe (?! und),"Liebe Therese, ich muß dir sagen: ich bewundere ihn.« Therese fiel ihrem Vater um den Hals, in einer wunsc",1474087
Liebe (?! und),Liebe in dieser Richtung würde beschäftigen wollen. Dazu war Therese eigentlich zu charaktervoll. Sie mußt,1479567
Liebe (?! und),Liebe umgeschlagen scheint – was in seelischer Hinsicht durchaus nichts Überraschendes und bei mehr temper,1486880
Liebe (?! und),Liebe hatte er ihr sein Leben angeboten. Aber sie wollte es nicht. Heute ahnte ihm: sie hatte nicht gewoll,1487690
Liebe (?! und),"Liebe zu ihm, oder der Gewissensbedrängnis ihrem Manne gegenüber, diesem alles eingestehen würde. Dann wür",1488015
Liebe (?! und),"Liebe zu seiner Vaterstadt brauste leidenschaftlich in ihm auf – vor seinem geistigen Auge, wunderlich zus",1492743
Liebe (?! und),"Liebe hinterdrein indirekt doch deutlichst kompromittiert. Wieder ein Zwang – wieder etwas Unerträgliches,",1495113
Liebe (?! und),"Liebe willen hatte er geglaubt zu leiden, tragische Not hatte er ihr angedichtet – und sie war nur eine na",1509109
Liebe (?! und),Liebe gegen die Abneigung der Mutter in Waffen! Ach und er liebte den Frieden so! Man konnte doch nur denk,1558672
Liebe (?! und),Liebe und will geliebt werden.« Hierauf war seine Frau in sichtliche Unruhe geraten und hatte ihn bedeutun,1562643
Liebe (?! und),"Liebe Therese,« begann er, »ich habe in der letzten Zeit manchmal gedacht, daß ich eine Frage wagen dürfe ",1572498
Liebe (?! und),"Liebe Therese … haben Sie genug Zutrauen und Neigung für mich, um meine Frau werden zu wollen?« »O Gott …«",1572649
Liebe (?! und),"Liebe zeigen – ach, immerfort – damit ich würdig sei, deine Gefährtin zu heißen …« Mädchenträume – das Glü",1575199
Liebe (?! und),"Liebe ausmalt – wie es ihn mit Ehrfurcht erfüllte! »Kämpfe hören nie auf, wenn man Verantwortungen trägt g",1575332
Liebe (?! und),Liebe ist und die die Menschen zueinander reißt … »Er liebt mich – er liebt mich …« Der Vater hatte sehr h,1577701
Liebe (?! und),Liebe daran stärke. Die Pflichten des Ehestandes sind nicht leicht. Mann und Frau müssen beständig an sich,1579293
Liebe (?! und),"Liebe diesen Bund gestiftet hat. es wäre eines deutschen Mädchens nicht würdig, von Berechnungen und dem V",1581415
Liebe (?! und),Liebe des Mannes.« Für jetzt mußte sie alle ihre Sentenzen schweigend in der eigenen Brust bewegen. Sie fü,1584466
Liebe (?! und),"Liebe ist. Die Gründung war nun vollzogen, die Zeichnungen, dank der von Bording garantierten fünf Prozent",1585334
Liebe (?! und),"Liebe – ruhiger als sie, dauerhafter als sie … Aber doch – ihm kam der Gedanke: wahr sein – ganz wahr! Ges",1588343
Liebe (?! und),Liebe antun – und damit vielleicht auch Therese. Er schob ihn zur Tür. »Nun gehen Sie – kaufen eine Handvo,1592909
Liebe (?! und),"Liebe ergründen … Es kam ja vor, daß man sich einmal für Minuten unbeachtet, ungestört sah – Wie gütig war",1601983
Liebe (?! und),"Liebe und Glauben … Die Weihe über ihr gab ihr eine Schönheit, die ihn mit Staunen erfüllte – mit Andacht ",1616421
Liebe (?! und),"Liebe ihn beschenkte – schwer lag in der Tiefe seines Gemütes das Bewußtsein, daß er so wenig dagegen gab ",1616689
Liebe (?! und),"Liebe ist tiefste Fürsorge und Sorge … Ein merkwürdiges Bangen und Zittern, in allem Glück des Besitzes. I",1618989
Liebe (?! und),"Liebe ist.« Sie begriff auch schaudernd, wie tausendfach es vorkommen möge, daß solche Ahnung trügt, daß s",1619699
Liebe (?! und),"Liebe alles in sein Ohr flüstern, und immer wieder küßte er ihre Hände und ihren Mund – voll heißer Dankba",1620827
Liebe (?! und),"Liebe sich recht dadurch zeigen muß, daß sie sich weniger zeigt.« – Nun hieß es klug sein, sich in der Han",1621664
Liebe (?! und),"Liebe als die Wissenschaft ihres eigenen Gefühls. Und das war so riesengroß, daß es keiner leidenschaftlic",1622389
Liebe (?! und),"Liebe sprechen, sie immer neu erleben, und den Männern genügt es, sie bewiesen zu haben. Aber eine Frau, d",1624218
Liebe (?! und),"Liebe blieb, die Hochachtung vor ihr ward fast zur Andacht. Daß diese Frau seinen Namen trug, daß durch si",1631748
Liebe (?! und),"Liebe weniger grausam zu, wenn es eben nicht so wäre. Es lastete auf ihm wie ein beständiger Vorwurf, daß ",1632726
Liebe (?! und),"Liebe zu eigen genommen. Zugleich fühlte er mit der qualvollsten Deutlichkeit, daß das üppig-stille, große",1636686
Liebe (?! und),"Liebe weiter durch die Tage ging, das schien ihm erhaben … Er genoß das seltene Glück, ein Weib ganz und g",1637598
Liebe (?! und),"Liebe war keine Sklavendemut. Weil sie sich mit Zurückhaltung auf das herrlichste verband, blieb es immer ",1639132
Liebe (?! und),Liebe und Arbeit und Wachsamkeit kann die ideellen und praktischen Werte erhalten und weiter entwickeln. M,1647219
Liebe (?! und),"Liebe zu geben, deren Hochhaltung allein die Zufriedenheit des Lebens gewährleisteten. Aber es geschah, da",1651809
Liebe (?! und),Liebe hatte an jenem Morgen und mit jener Aufforderung das Vorspiel seiner Bewerbung begonnen. Und das war,1692358
Liebe (?! und),Liebe zu mir half ihm vielleicht aus dem Unrecht heraus?« Therese fühlte sich ein wenig schwach. Sie hatte,1694289
Liebe (?! und),"Liebe kam sie in vorwärtsstürmenden Gedanken dahin: er war verführt worden, er hatte gelitten, er verdient",1697335
Liebe (?! und),Liebe zu mir half ihm aus dem Unrecht heraus …« Das war gut zu denken … Sie schrak auf. In der Tür zeigte ,1697975
Liebe (?! und),"Liebe und Leben! Unbegreifliche, grausame … Diese Frau, von der er sich so vollkommen losgelöst, daß er di",1702523
Liebe (?! und),"Liebe zeigen wollen, sie zu erfreuen gewünscht – das erzählten diese unerwarteten Aufmerksamkeiten. Er kon",1723141
Liebe (?! und),"Liebe ist, so sieht man, daß Liebe einen auch mit Rücksichten malträtieren kann.« Und sie saß, um vor Jako",1730651
Liebe (?! und),"Liebe einen auch mit Rücksichten malträtieren kann.« Und sie saß, um vor Jakob nicht undankbar oder kränkl",1730680
Liebe (?! und),"Liebe jemals geweint, diese Musik, deren Tänze und Fröhlichkeiten selbst noch von verhaltenem Schluchzen e",1734014
Liebe (?! und),"Liebe im Leiden liegt. Er, ihr Mann, er, für den sie hätte sterben können – er hatte ihretwegen nicht geli",1735953
Liebe (?! und),"Liebe und ihr Glück … Und aus dieser Erwägung heraus kam eine beklemmende, beschämende Unruhe über Bording",1744877
Liebe (?! und),"Liebe geheiratet – das war auch eine Art von Lüge, denn er mußte erraten, er mußte gefühlt haben: sie gab ",1753977
Liebe (?! und),Liebe und glaubte an seine Liebe – ohne welchen Glauben sie niemals die Seine geworden wäre. Sie fühlte: s,1754083
Liebe (?! und),Liebe – ohne welchen Glauben sie niemals die Seine geworden wäre. Sie fühlte: sie konnte nicht einfach for,1754110
Liebe (?! und),Liebe und Rücksichtnahme Ihre Pflichten zu erfüllen.« Er war vor Zorn ganz blaß. Hatte schon jemals ein Me,1766518
Liebe (?! und),"Liebe zusammen Tränen und Sorge haben, als ohne Liebe in Glanz und Leere leben …« »Therese!« Sie stand auf",1785524
Liebe (?! und),Liebe in Glanz und Leere leben …« »Therese!« Sie stand auf – an allen Gliedern fliegend – sie wollte sich ,1785572
Liebe (?! und),"Liebe zu mir ist es im allerletzten Grunde, die Vater zu der Gewissensfeinheit treibt, seine Stellung aufz",1789917
Liebe (?! und),Liebe – sie lieben mich – Vater und Mutter – sie lieben mich … Wer tut es sonst auf der Welt? …« Und von d,1790235
Liebe (?! und),"Liebe und eine glückliche Ehe ist – und es war, als bekäme ich einen Stoß vor die Brust, als er es mir sch",1794563
Liebe (?! und),"Liebe zu ihr ißt er und lobt allens. Jawoll. Das bin ich mir selbst je nich vermuten gewesen, daß aus ihm ",1797619
Liebe (?! und),"Liebe ihr, seiner Frau, zu? Aber dagegen lehnte sich alles in ihr auf … Und ihr weiches, zermartertes Herz",1811444
Liebe (?! und),"Liebe Mama,« sagte er, »ich – dieser Augenblick … ich habe mich töricht Ihnen gegenüber verhalten – mehr a",1836354
Liebe (?! und),"Liebe zur Heimat, die er in herber Kraft nur in Taten gezeigt, sättigte nun auch das Verlangen der Kleinen",1849538
Liebe (?! und),"Liebe und den gleichen Wunsch, die Heimat und ihre Blüte … Er erzählte die Geschichte des Ankaufes der Län",1849828
Liebe (?! und),"Liebe fand er nicht darin. XV Von diesem Tage an wußte Bording nicht, ob sein Leben ein Siegerrausch oder ",1856618
Liebe (?! und),"Liebe niederzuzwingen vermochte. Jahre seines Lebens hätte er darum gegeben, zu wissen, was in ihr vorging",1857798
Liebe (?! und),"Liebe hingenommen … Und er, der große, kluge, reiche Jakob Martin Bording beneidete seinen armen Sekretär ",1858241
Liebe (?! und),"Liebe und du dachtest vielleicht, dein Geld sei Gegengabe genug für mich – nein, gar nichts Gemeinsames so",1860471
Liebe (?! und),"Liebe fühlen, während er überzeugt blieb, er fühle sie doch. An der Wiege vergaß sie Würde und Weisheit, w",1869400
Liebe (?! und),"Liebe aber und von Sehnsucht stand kein Wort in seinen Briefen. Als reifer Mensch, der er war, hatte er da",1874354
Liebe (?! und),"Liebe und Sehnsucht zu einem Herzen sprechen, das nicht wiederliebt, heißt sich vor diesem Herzen zum Bett",1874487
Liebe (?! und),"Liebe heraus – mit jenem feinen Sinn der Frau, die eines Tags zu ahnen beginnt, daß ihr nur Achtung, Herzl",1877348
Liebe (?! und),"Liebe gegeben. Und wenn du ein erfolgloser Kämpfer, und wenn du arm und ein Unglücklicher gewesen wärst –i",1883258
Liebe (?! und),"Liebe – bezahlt …« »Vielleicht, Therese, hab' ich das gedacht – ich bin sehr schuldig vor dir. aber deine ",1883508
Liebe (?! und),"Liebe spürtest und sie dir recht war, als Mittel zu deinem Zweck …« Was wollte sie sagen? Er wartete, atem",1884021
Liebe (?! und),"Liebe in unsere Ehe mitgebracht,« sprach sie, »hast du sie wenigstens rein und heilig gehalten?« »Ja!« So ",1885281
Liebe (?! und),"Liebe und Verzeihung hinsank … Er hatte ja ihr glückseliges Aufleuchten gesehen, als er unvermutet vor sie",1886586
Liebe (?! und),Liebe zu dem Jungen müsse doppelt gewaltig sein.« Friederikes Blicke streiften den Bruder. Erschreckt hiel,1894223
Liebe (?! und),"Liebe an – sag mir nichts! Das Härteste, was du mich hören lassen könntest, hab' ich mir selbst gesagt. Ab",1966142
Liebe (?! und),"Liebe damit erkaufen könnte. es ist etwas anderes, ganz Irdisches, was mir das Herz schwer macht und mich ",1966349
